,id,NAME,host id,host_identity_verified,host name,neighbourhood group,neighbourhood,lat,long,country,country code,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,last review,reviews per month,review rate number,calculated host listings count,availability 365,house_rules,license
82482,46556145,Star Labs,51220701835,unconfirmed,Xris,Brooklyn,Crown Heights,40.67215,-73.94831,United States,US,False,moderate,Private room,2011.0,$810 ,$162 ,1.0,2.0,8/21/2017,0.09,3.0,1.0,177.0,Be respectful of my roommates and my dogs.,
57975,33020929,Private Apt. in Brooklyn Brownstone + Garden,37054302200,verified,Nick,Brooklyn,Bedford-Stuyvesant,40.688835,-73.942787,United States,US,False,strict,Entire home/apt,2018.0,"$1,105 ",$221 ,2.0,167.0,1/5/2022,1.95,2.0,2.0,204.0,,
62087,35291986,Amazing  Nomad Apt in the Center Of Manhattan,63479900582,unconfirmed,Ariel,Manhattan,Midtown,40.74335,-73.98654,United States,US,False,strict,Entire home/apt,2019.0,$496 ,$99 ,14.0,4.0,11/28/2021,0.33,5.0,1.0,0.0,,
74324,42050481,Manhattan at its best!,38679756249,unconfirmed,Pit,Manhattan,Morningside Heights,40.80419,-73.96603,United States,US,False,flexible,Entire home/apt,2004.0,$907 ,$181 ,5.0,4.0,3/23/2019,0.85,5.0,1.0,4.0,,
95230,53596865,Large room near Columbia Uni medical center (7),14301738346,verified,Kyunam,Manhattan,Washington Heights,40.84376,-73.94208,United States,US,True,strict,Private room,2016.0,$481 ,$96 ,1.0,7.0,6/20/2019,0.62,5.0,3.0,83.0,No smoking.,
22628,13498780,Sunny Spacious King Size Bed,12292085260,verified,Tiago,Brooklyn,Bushwick,40.69449,-73.92629,United States,US,False,strict,Entire home/apt,2006.0,$87 ,$17 ,3.0,4.0,10/23/2017,0.18,1.0,1.0,0.0,"No smoking or additional guests, please.",
85149,48029129,"Top floor skyline view, Bright in Bushwick!",47376405277,verified,Ada,Brooklyn,Williamsburg,40.70528,-73.92938,United States,US,True,flexible,Entire home/apt,2011.0,$753 ,$151 ,2.0,11.0,5/6/2019,0.28,5.0,7.0,329.0,"- The apartment is 3 levels - the 2nd, 3rd, and 4th floors of the house. We kindly ask that guests only utilize the space available on the 3rd and 4th floor (+ roof deck).",
32425,18909664,Stunning duplex. EXCELLENT location. Fort Greene!!,67489956957,unconfirmed,Annie And Joan,Brooklyn,Fort Greene,40.68677,-73.97298,United States,US,True,flexible,Entire home/apt,2005.0,$160 ,$32 ,2.0,13.0,12/30/2018,0.96,5.0,2.0,158.0,Like it is their own house. I've had problems in the past with AirBnB so I need to be assured that guests will treat the house with respect and care.,
44968,25837162,Luxury King Room Near Central Park,68416593436,unconfirmed,WestHouse,Manhattan,Hell's Kitchen,40.76555,-73.98478,United States,US,False,moderate,Private room,2013.0,$216 ,$43 ,1.0,0.0,,,5.0,6.0,299.0,Please respect the quiet in the building. Very small dogs with kennels allowed. Condo does not have a crib and is not baby-proof.,
98496,55400677,"Spacious 1.5 Bedroom in Bed-Stuy, Brooklyn",98450028084,verified,Jelani,Brooklyn,Bedford-Stuyvesant,40.69714,-73.94897,United States,US,True,strict,Entire home/apt,2018.0,$437 ,$87 ,3.0,7.0,5/27/2019,0.71,5.0,1.0,9.0,"No Smoking No Loud Parties No Pets Please be respectful of noises especially at night Check-in Time: 4PM Check-out Time: 10AM Please review the guest booklet in the living room of the condo, during your arrive for detailed policy information.",
20497,12321829,"UWS Landmarked Townhouse 1BR, APT 3B",4371768169,verified,Lisa,Manhattan,Upper West Side,40.78297,-73.98141,United States,US,True,moderate,Entire home/apt,2013.0,$635 ,$127 ,90.0,2.0,11/15/2017,0.07,3.0,8.0,125.0,"- Bathroom and kitchen are shared, so please clean up after yourself immediately to respect the other guests!",
64711,36741221,Quiet Midtown condo with stunning rooftops,91103593993,unconfirmed,Jess,Manhattan,Theater District,40.76237,-73.98205,United States,US,True,flexible,Entire home/apt,2011.0,$651 ,$130 ,30.0,7.0,8/1/2021,0.23,2.0,1.0,0.0,,
39800,22982876,Cozy & Clean private bedroom in Columbus Circle.,65933973032,unconfirmed,Sehwan,Manhattan,Hell's Kitchen,40.76732,-73.98482,United States,US,True,flexible,Private room,2010.0,$312 ,$62 ,5.0,2.0,1/9/2019,0.32,5.0,1.0,0.0,"no inside smoking, quiet(ish) after 11, help yourself to condiments, oils, spices, coffee. use of bikes at your own risk. No parties. I'm super tight with neighbors and usually I'm staying 2 doors down.",
90414,50936988,Bond Street 2 bedroom 2 bath great Noho location,27792147537,unconfirmed,Donna,Manhattan,NoHo,40.72501,-73.99323,United States,US,False,strict,Entire home/apt,2007.0,$481 ,$96 ,2.0,26.0,4/12/2019,0.9,,1.0,10.0,,
6127,4385278,Stunning room. 15mins to Manhattan!,70870505250,unconfirmed,Natasha,Brooklyn,Bedford-Stuyvesant,40.68622,-73.92508,United States,US,False,moderate,Private room,2013.0,$51 ,$10 ,30.0,2.0,4/28/2015,0.04,1.0,4.0,380.0,,
93949,52889369,Experience Brownstone Living in Brooklyn!,41472812013,unconfirmed,Lauren,Brooklyn,Bedford-Stuyvesant,40.68967,-73.9366,United States,US,False,flexible,Entire home/apt,2008.0,$479 ,$96 ,2.0,20.0,7/1/2019,1.67,5.0,2.0,357.0,,
67456,38257285,Beautiful Astoria apt next to Manhattan,6056942925,verified,Vadim,Queens,Long Island City,40.76601,-73.93388,United States,US,False,strict,Entire home/apt,2007.0,$613 ,$123 ,180.0,176.0,3/28/2020,2.01,4.0,2.0,365.0,,
5427,3998668,Room in sunny & plant filled apt!,84182840803,verified,Lian,Brooklyn,Crown Heights,40.67297,-73.95489,United States,US,True,moderate,Private room,2018.0,"$1,159 ",$232 ,1.0,3.0,10/11/2015,0.05,4.0,1.0,247.0,,
60445,34385110,♔ PrivateBedroom Located Near Pratt/Subway/Barclay,76560048055,unconfirmed,Sukhjit,Brooklyn,Bedford-Stuyvesant,40.68559,-73.95753,,US,True,strict,Private room,2012.0,"$1,125 ",$225 ,7.0,2.0,12/24/2021,0.48,3.0,10.0,365.0,,
78047,44106694,Room for one or two in  beautiful Midwood,5822531859,unconfirmed,Beth,Brooklyn,Midwood,40.62066,-73.95378,United States,US,False,moderate,Private room,2005.0,$900 ,$180 ,2.0,56.0,5/26/2019,1.83,5.0,2.0,42.0,I do not allow guests with pets. Smoking is allowed on the patio or outdoors. Please be kind to the environment and recycle. Also turn  all unnecessary lights off when not in use. All beds need to be stripped upon departure. Sanitary napkins need to be disposed of properly (taken outside to the trash) not in the bathroom garbage. The suite has a separate sitting area with leather couch not to be used as second bedroom.  Guest must have a mobile device which makes and receives calls and or text messages.,
52970,30256667,1 Private Bedroom in Sunset Park,30637899244,unconfirmed,Linsha,Brooklyn,Sunset Park,40.64208,-74.02292,United States,US,False,moderate,Private room,2020.0,$80 ,$16 ,1.0,4.0,2/20/2022,1.17,3.0,3.0,0.0,,
58348,33226936,DESIGNER 1 Bedroom - Best location upper West Side,90883800809,verified,Tal,Manhattan,Upper West Side,40.78686,-73.97722,United States,US,True,flexible,Entire home/apt,2012.0,$492 ,$98 ,5.0,2.0,1/4/2022,0.85,4.0,1.0,90.0,,
78844,44546877,Huge  Bedroom in Astoria for One (1) Professional,84909155567,unconfirmed,Varos,Queens,Astoria,40.75851,-73.92555,United States,US,True,moderate,Private room,2016.0,$427 ,$85 ,4.0,40.0,7/5/2019,1.41,4.0,2.0,47.0,"Stay kinda quiet after 11, don't leave the door open, and you're good to go. Have fun!",
72955,41294383,Central Park North Apt,1973138096,unconfirmed,Sheying,Manhattan,Harlem,40.80171,-73.95303,United States,US,True,moderate,Private room,2018.0,"$1,169 ",$234 ,5.0,78.0,6/17/2019,2.32,2.0,1.0,30.0,,
6512,4597914,"Stylish 3,000 sq ft loft in TriBeCa",90500936244,verified,Yaroslav,Manhattan,Tribeca,40.72325,-74.00991,United States,US,True,moderate,Entire home/apt,2011.0,$463 ,$93 ,2.0,6.0,3/14/2018,0.25,4.0,1.0,284.0,"- - NO PETS!  NO SMOKING ON PREMISES!  NO PARTY! No ""DRUGS""! - Keep the Place Clean at All Times! - Do Not Ask the ""Neighbors"" for anything.  Ask Me!-  - No Neighbors Interaction! - No ""Drugs"" Please!!! - No Noise! A printed house rule will be provided. Please be respectful to others when all rooms are booked.  10 AM Check-out and Check-in is between 12PM (noon) - 3 PM.   Late check in after 8 pm is $50, lock out is $50. Respect yourself, Respect others, clean up after yourself.  No Smoking/drinking in apt.  Thank You! Location Rules: The ""Exact Address Location Is Not Stockton St.  It Is 2 Streets Away.  It Is Not Disclosed For Security Reasons"" And Is Given Out 24 Hours Prior to Check-in.  If This Is a Problem for You, Please STOP Here And Contact Other Hosts for Your Stay.   This Is a Part Of My House Rules.",
22740,13560638,"Bright kitchen studio--events, classes, photos",21058022658,unconfirmed,Ronna,Brooklyn,Sunset Park,40.65107,-74.01096,United States,US,False,moderate,Entire home/apt,2015.0,$619 ,$124 ,1.0,5.0,12/24/2018,0.27,2.0,1.0,179.0,,
55183,31478907,Lovely 2 bedroom Apartment,54171168613,verified,Kerlly,Brooklyn,Sunset Park,40.66136,-73.99527,United States,US,False,flexible,Entire home/apt,2020.0,$117 ,$23 ,2.0,33.0,2/7/2022,4.07,5.0,2.0,16.0,,
18697,11327689,Beautiful Home Away From Home,27597750205,unconfirmed,Kat,Brooklyn,Crown Heights,40.67532,-73.93986,United States,US,False,moderate,Private room,2021.0,$937 ,$187 ,1.0,7.0,6/21/2019,0.2,2.0,2.0,189.0,Absolutely no smoking or pets.,
100283,56387637,NEW! Exceptional 2BR/1BA Williamsburg Oasis,43872334310,unconfirmed,Russell,Brooklyn,Williamsburg,40.71306,-73.94856,United States,US,False,flexible,Entire home/apt,2016.0,$224 ,$45 ,3.0,1.0,12/11/2016,0.03,2.0,1.0,0.0,"NO loud parties. NO smoking in the condo, hallways, stairwells, or even on the front steps! Building occupants are allergic to smoke! This is ideal for ONE person, comfortable queen sized bed. Longer Bookings Preferred(Per Condo By-Laws and neighbors) preferred. We do not respond to requests for only a few nights stay! Thanks.",
15551,9590153,Charming Brooklyn Brownstone!,54601020727,verified,Joel,Brooklyn,Prospect Heights,40.67908,-73.97333,United States,US,False,flexible,Private room,2021.0,$791 ,$158 ,1.0,0.0,,,4.0,1.0,207.0,You can use our home as you would like us to use yours. We invite you to use our kitchen as you please. We would love to come home to our apartment in the manner we will leave it for you: clean and ready to use.,
51262,29313339,Modern private room in Bushwick house,62391158004,unconfirmed,Danny,Brooklyn,Bushwick,40.68709,-73.91164,United States,US,False,strict,Private room,2013.0,$703 ,$141 ,1.0,5.0,2/27/2022,3.0,5.0,3.0,152.0,,
76896,43470997,"Own Floor in Brooklyn Home, 20 min to Manhattan",11615547352,unconfirmed,Jen And Lev,Brooklyn,Flatbush,40.6459,-73.9642,United States,US,False,flexible,Entire home/apt,2014.0,$151 ,$30 ,3.0,64.0,6/24/2019,2.07,1.0,1.0,277.0,,
76292,43137408,Studio King Wyndham Midtown 45 Hotel,29002961719,verified,Wynpoints,Manhattan,Midtown,40.75351,-73.97196,United States,US,False,flexible,Private room,2015.0,$348 ,$70 ,3.0,12.0,12/18/2016,0.36,2.0,12.0,365.0,No smoking in condo or hallways of building.  No parties.  Well-behaved pets OK.  Quiet and respectful of our neighbors.,
31511,18404861,Sonder | The Biltmore | Quaint Studio + Rooftop,80374901180,unconfirmed,Sonder,Manhattan,Financial District,40.70561,-74.0086,United States,US,True,strict,Entire home/apt,2020.0,$103 ,$21 ,29.0,4.0,5/23/2019,0.42,5.0,96.0,341.0,,
24952,14782326,Bright & Beautiful 1BR Apartment in East Village,12395606503,verified,Maurizio,Manhattan,East Village,40.7248,-73.98774,United States,US,True,moderate,Entire home/apt,2007.0,"$1,006 ",$201 ,5.0,1.0,7/16/2018,0.08,2.0,1.0,5.0,,
53509,30554357,Bright Loft Deluxe  With 3 Beds & Broadway View #5,85952800704,verified,Alberto Fernando,Manhattan,Midtown,40.74795,-73.98712,United States,US,False,strict,Entire home/apt,2007.0,"$1,198 ",$240 ,1.0,35.0,2/17/2022,3.56,2.0,8.0,248.0,,
44583,25624527,Sonder | The Biltmore | Spacious 1BR + Kitchen,61326375884,unconfirmed,Sonder (NYC),Manhattan,Theater District,40.76106,-73.98647,United States,US,False,moderate,Entire home/apt,2012.0,$208 ,$42 ,29.0,0.0,,,3.0,327.0,333.0,,
80234,45314574,Penthouse studio @ Manhathan,6188930381,verified,Crystal,Manhattan,Financial District,40.70738,-74.01281,United States,US,False,strict,Entire home/apt,2022.0,$198 ,$40 ,2.0,0.0,,,1.0,1.0,0.0,"We suggest you use email or texting contact us if need, do not call us. We will not accept calling from AirBnB guests. We will back to you ASAP.",
39927,23053018,Share Lg studio rm b2*2 blocks subway *Bronx Zoo,75857886537,unconfirmed,Monica,Bronx,Van Nest,40.84119,-73.87049,United States,US,True,moderate,Shared room,2019.0,$289 ,$58 ,10.0,2.0,6/30/2019,0.32,3.0,4.0,114.0,BUILDING IS RESIDENTIAL. DOCTORS AND NURSES WHO WORK LONG HOURS ARE THE PRIMARY TENANTS OF THIS BUILDING SO RESPECTFUL NOISE LEVELS DURING 10PM-7AM ARE A MUST.,
45417,26085145,Private Group Studio Apartment,22258604298,verified,Michelle,Manhattan,Morningside Heights,40.81304,-73.96131,United States,US,False,flexible,Entire home/apt,2022.0,$718 ,$144 ,2.0,1.0,6/9/2019,1.0,3.0,6.0,358.0,,
84188,47498368,"Spacious, Family-Friendly NYC Apt",57512876989,verified,Cristina,Manhattan,Harlem,40.82485,-73.93774,United States,US,False,flexible,Entire home/apt,2009.0,$220 ,$44 ,1.0,1.0,2/21/2016,0.02,2.0,1.0,260.0,"Please no shoes inside the house and no  smoking (cigarettes or anything else) either in or outside. Please be respectful of neighbors in the evening and early morning (10pm-7am). When you leave at the end of your stay, please take your trash outside to the large garbage bin at the end of the driveway.",
98628,55473580,Mott Haven Dorm-Bed B,75079241702,verified,Rem,Bronx,Port Morris,40.80952,-73.93005,United States,US,True,strict,Shared room,2014.0,$284 ,$57 ,1.0,17.0,6/3/2019,1.79,4.0,7.0,83.0,"House Rules 1. Check-in is 4 pm local time. If the unit is ready earlier, we’ll let you know. Check-out is normally 11 am local time, but we’d be happy to extend it as long as we don’t have a cleaning scheduled. Just let us know.  2. All bookings require a security deposit of at least $300, which will be refunded within 7 days of your check-out. 3. For security measures we require all guests to provide proof of identification through ID verification on our own website. In order to check in we'll need a photo of your ID.  4. Our cancellation policy is as shown on our ad and defined by the site you are booking through.  5. Don’t let $300 go up in smoke. There's no smoking allowed in any Flatbook and a $300 fine for breaking this rule.  6. Unfortunately we don’t allow pets in any of our apartments. 7. Unless you’re staying in one of our specialty apartments, we don’t allow parties or excessive noise. 8. If we find the place very messy, we have to charge an extra $40 for every extra hour o",
37505,21715348,Downtown Brooklyn Loft Space Under The Bridge,67242005557,verified,Luis,Brooklyn,Vinegar Hill,40.70079,-73.98512,United States,US,True,strict,Entire home/apt,2004.0,$380 ,$76 ,1.0,1.0,11/18/2018,0.13,4.0,1.0,0.0,"Don't do anything you wouldn't want done at your place. Our home is your home when you stay here. Smoking is not allowed indoors, but we have a balcony you can smoke on.",
63048,35822746,Stunning & Modern 2 BR Apt- W/ Doorman & Laundry,65113653970,unconfirmed,Nathan,Manhattan,Hell's Kitchen,40.75919,-73.99036,United States,US,False,moderate,Entire home/apt,2006.0,"$1,044 ",$209 ,30.0,1.0,10/23/2021,0.22,2.0,37.0,249.0,,
26533,15655512,"Studio on UWS, three blocks from the Central Park",91239784773,verified,Anthony,Manhattan,Upper West Side,40.78607,-73.97717,United States,US,True,moderate,Entire home/apt,2008.0,$938 ,$188 ,5.0,27.0,4/20/2019,1.25,2.0,1.0,0.0,,
26993,15909570,Renovated apartment of a young business traveller,69807217080,verified,Dmitry,Manhattan,Upper West Side,40.80246,-73.96741,United States,US,False,moderate,Private room,2016.0,$161 ,$32 ,3.0,1.0,10/28/2017,0.05,5.0,1.0,0.0,"Enjoy the fantastic neighborhood and our newly renovated home! Please try to be discreet when entering and exiting our building out of respect to our neighbors in the building. (Our neighbors are all very nice, but there is one who likes to complain about everything!) Please let me know your approx check-in and check-out time upon booking.",
68141,38635610,Great Room in Charming Nolita Apartment,14702094967,verified,Victor,Manhattan,Nolita,40.72244,-73.99406,United States,US,False,strict,Private room,2016.0,$908 ,$182 ,30.0,239.0,3/2/2020,3.46,5.0,4.0,0.0,,
92997,52363579,Prime location 2 BR APT/ Midtown West/ Manhattan,90301184448,unconfirmed,Jose,Manhattan,Hell's Kitchen,40.75546,-73.99582,United States,US,True,flexible,Entire home/apt,2015.0,$245 ,$49 ,3.0,31.0,4/28/2019,1.98,3.0,2.0,4.0,"Please treat the interior of the unit, including all furniture with respect.   No smoking or pets allowed. Enjoy yourself but please keep noise to acceptable levels at night to avoid disturbing neighbors.  No parties please.",
97591,54900845,Great Apt With Balcony and Steps To The Subway,10215557303,verified,Mariana,Brooklyn,Bedford-Stuyvesant,40.67712,-73.9226,United States,US,False,strict,Entire home/apt,2009.0,"$1,161 ",$232 ,1.0,63.0,7/7/2019,5.61,5.0,1.0,82.0,Quiet time in our building is from 10pm-8am.,
60498,34414381,Retreat in the City: Private Bedroom In UWS,55143963246,verified,Edwin,Manhattan,Upper West Side,40.8037,-73.96584,,US,True,strict,Private room,2008.0,$684 ,$137 ,1.0,32.0,12/23/2021,1.94,4.0,3.0,26.0,,
102033,57354162,Artsy Private Room in LIC. 2 min walk to Subway.,18783843666,unconfirmed,Lunara,Queens,Long Island City,40.74117,-73.94904,United States,US,False,moderate,Private room,2012.0,$303 ,,5.0,17.0,6/9/2019,0.61,1.0,1.0,112.0,,
52613,30059496,Quintessential Chelsea Oasis -Skylight & Fireplace,50320690983,verified,Ohana,Manhattan,Chelsea,40.74259,-74.00088,United States,US,True,moderate,Entire home/apt,2003.0,$819 ,$164 ,1.0,5.0,2/21/2022,1.47,5.0,4.0,21.0,,
44205,25415758,New HUGE gorgeous 1 BR next to Prospect Park!,59170650582,verified,Sidrah,Brooklyn,Prospect-Lefferts Gardens,40.66072,-73.95772,United States,US,True,moderate,Entire home/apt,2006.0,$916 ,$183 ,2.0,2.0,6/16/2019,0.92,5.0,1.0,0.0,We want you to treat our home as your own.  We have a few house rules- -Extra visitors and overnight guests are not allowed. - No pets -No smoking -Cooking facilities are not available -Minimum 2 night stay,
78274,44232066,Room in East Williamsburg,73202990510,verified,Dustin,Brooklyn,Williamsburg,40.70921,-73.94144,United States,US,True,flexible,Private room,2010.0,$858 ,$172 ,1.0,2.0,3/15/2017,0.07,3.0,1.0,0.0,"Please , no smoking,parties or noise that may disturb the neighbors.",
92540,52111178,Cozy bedroom in the heart of Greenpoint,79542208608,verified,Justyna,Brooklyn,Greenpoint,40.72904,-73.94885,United States,US,True,moderate,Private room,2008.0,$990 ,$198 ,5.0,1.0,2/20/2018,0.06,5.0,1.0,0.0,"House Rules 1. Check-in is 4 pm local time. If the unit is ready earlier, we’ll let you know. Check-out is normally 11 am local time, but we’d be happy to extend it as long as we don’t have a cleaning scheduled. Just let us know.  2. All bookings require a security deposit of at least $300, which will be refunded within 7 days of your check-out. 3. For security measures we require all guests to provide proof of identification through ID verification on our own website. In order to check in we'll need a photo of your ID.  4. Our cancellation policy is as shown on our ad and defined by the site you are booking through.  5. Don’t let $300 go up in smoke. There's no smoking allowed in any Flatbook and a $300 fine for breaking this rule.  6. Unfortunately we don’t allow pets in any of our apartments. 7. Unless you’re staying in one of our specialty apartments, we don’t allow parties or excessive noise. 8. If we find the place very messy, we have to charge an extra $40 for every extra hour o",
49858,28537909,UNTITLED at Freeman - Queen Studio 811,31921315536,verified,Karen,Manhattan,Lower East Side,40.72074,-73.99202,United States,US,True,strict,Entire home/apt,2020.0,$512 ,$102 ,2.0,20.0,3/2/2022,3.31,5.0,208.0,119.0,,
29751,17432813,Beautiful 2-br Apt in the Heart of Williamsburg,17371030812,verified,Efrat,Brooklyn,Greenpoint,40.72016,-73.95462,United States,US,True,moderate,Entire home/apt,2015.0,"$1,107 ",$221 ,2.0,3.0,9/3/2018,0.22,4.0,1.0,0.0,NO Smoking,
57551,32786753,City Of Dreams,19378371828,unconfirmed,Richard,Manhattan,Upper West Side,40.80235,-73.96543,United States,US,False,moderate,Private room,2011.0,$81 ,$16 ,2.0,14.0,1/10/2022,1.38,3.0,56.0,194.0,,
46119,26472860,Nice quiet room available in manhattan,97638685655,unconfirmed,Monisha,Manhattan,Harlem,40.82622,-73.93489,United States,US,True,flexible,Private room,2013.0,$621 ,$124 ,1.0,0.0,,,5.0,1.0,365.0,"No pets and no smoking (including outside near the entrance, as it sometimes blows back into the building). Please remove your shoes when entering (we have sensitive floors :)). Thank you!",
5837,4225111,"Charming, private 1BR garden apt",46575388705,unconfirmed,Erin,Manhattan,Harlem,40.81774,-73.94595,United States,US,True,moderate,Entire home/apt,2012.0,"$1,011 ",$202 ,4.0,82.0,5/22/2019,1.53,5.0,1.0,87.0,,
99346,55870132,Your Cozy Home,96318754331,unconfirmed,Anting,Queens,Long Island City,40.74029,-73.95927,United States,US,True,flexible,Private room,2010.0,$959 ,$192 ,1.0,2.0,12/5/2018,0.26,4.0,33.0,365.0,"-Please don't wear shoes inside the apartment (shoes should be removed in the area just inside the door to the apartment). -Please DO wear shoes while out in the courtyard. -Please keep the doors to the apartment locked at all times. -Please recycle -Please don't move/remove the portable A/C from the bedroom window.  -Please ensure that your bedroom windows are closed and securely locked when running the heat or A/C, before leaving the apartment and before going to bed. -Please ensure that the courtyard gate is closed and securely locked before leaving the apartment and before going to bed. -Please rinse off any dishes/flatware that you use and place them into the dishwasher after use. -Please help conserve energy (and my electricity bill!) by doing the following when you going to bed and when you are leaving: turn lights off, turn the thermostat down to between 60-65 degrees F (colder months), turn the A/C up to 75 degrees F or just turn it off entirely (warmer months). -Please NO smo",
95529,53762003,Beautiful Modern Spacious 3 bedroom Apartment,4947742214,unconfirmed,Marie,Brooklyn,Flatlands,40.62915,-73.9198,United States,US,False,strict,Entire home/apt,2022.0,$473 ,$95 ,2.0,64.0,6/27/2019,4.92,5.0,1.0,194.0,"Please treat the home as you would your own, and treat your hosts as you would like to be treated!",
101732,57187920,Cabins at Chelsea (NYC),90642765471,unconfirmed,Maria,Manhattan,Chelsea,40.74819,-73.9954,United States,US,True,strict,Private room,2020.0,$346 ,$69 ,1.0,147.0,6/23/2019,5.08,2.0,5.0,292.0,,
84682,47771205,Times Square Two Bedroom,47306189377,verified,Ziv,Manhattan,Hell's Kitchen,40.76452,-73.99439,United States,US,True,flexible,Entire home/apt,2011.0,$752 ,$150 ,4.0,107.0,6/26/2019,2.73,5.0,1.0,396.0,"66 Melrose House Rules *Be sure to contact us for key instructions* We request that you please be respectful of all furniture, appliances, and all other belongings within the apartment. Please make sure to turn off all lights and appliances, including A/C and Heat when you leave the apartment and follow the trash rules ~ every bit of saving helps us provide affordable and comfortable living space to everyone.  Trash can be put outside in front of the building on the curb  Sunday and Thursday nights at 5 PM  or later it will be picked up early the following mornings. All insurance and liability including accidents - inside or outside the apartment - health, short-term cancellations and / or guest's belongings is the guest's responsibility. The entire building is non - smoking so please no smoking on the property or in any of the units.    62 Melrose General Information We offer digital cable TV, DVD and high speed Internet. We will send internet information in a separate email.   For yo",
